,YES_CHILD,R_HOME,D,F,G,H,I,J,M,N,O,P,R,S,U,X,Z,Male,customer_id2,net_purchase_amount,Sales_Quantity,Policy_Change,Treatment,customer_id,gender,age_band,est_income_code,ethnic_code,homeowner_code,length_of_residence,child,PC_Treatment
5498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28454419,828.5,2.0,1,1.0,28454419.0,F,0.0,5.0,J,O,8.0,Y,1.0
5499,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28454579,399.0,9.0,0,1.0,28454579.0,M,0.0,5.0,F,O,15.0,Y,0.0
5500,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28454579,299.98,3.0,1,1.0,28454579.0,M,0.0,5.0,F,O,15.0,Y,1.0
5501,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28457680,179.98,2.0,0,1.0,28457680.0,F,6.0,4.0,H,O,7.0,N,0.0
5502,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28457680,125.22,2.0,1,1.0,28457680.0,F,6.0,4.0,H,O,7.0,N,1.0
5503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28459709,1014.09,2.0,0,1.0,28459709.0,F,11.0,1.0,N,O,2.0,N,0.0
5504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28459709,699.98,2.0,1,1.0,28459709.0,F,11.0,1.0,N,O,2.0,N,1.0
5505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28460623,418.5,3.0,0,1.0,28460623.0,M,0.0,5.0,N,R,0.0,N,0.0
5506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28460623,3669.93,4.0,1,1.0,28460623.0,M,0.0,5.0,N,R,0.0,N,1.0
5507,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28460936,3271.72,18.0,0,1.0,28460936.0,F,0.0,9.0,H,O,3.0,N,0.0
